country,duration_mean,duration_min,duration_max,duration_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,topic4_max,topic4_median
Afghanistan,3.071428571,0,7,3,0.066071429,0.03,0.75,0.035,0.176428571,0.03,0.84,0.04,0.679642857,0.04,0.89,0.835
Albania,3.75,2,5,3.5,0.05375,0.03,0.17,0.04,0.30875,0.03,0.78,0.21,0.52375,0.04,0.87,0.565
Angola,5,5,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87
Armenia,4.25,4,5,4,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8625,0.83,0.89,0.865
Azerbaijan,2.8,1,4,3,0.032,0.03,0.04,0.03,0.15,0.03,0.62,0.03,0.752,0.3,0.87,0.87
Bangladesh,4.333333333,3,5,5,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.846666667,0.82,0.88,0.84
Bolivia,4,3,5,4,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.86,0.84,0.88,0.86
Bosnia and Herzegovina,3.5,0,5,4,0.043333333,0.03,0.1,0.03,0.388333333,0.03,0.85,0.32,0.5,0.04,0.89,0.58
Bulgaria,5,5,5,5,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07,0.77,0.77,0.77,0.77
Burundi,3,2,4,3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87
